Went here the other night with a girlfriend. Sure it’s trendy, but so aren’t most NYC clubs.	Went here the other night with a girlfriend. Sure it’s trendy, but so are most NYC clubs.	Yale	sentProb
I so agree - we do need to let go and laugh and live. And we so need our gal pals - hubbys and kids and other family are essential for most of us, but so aren’t the gals in our lives.	I so agree - we do need to let go and laugh and live. And we so need our gal pals - hubbys and kids and other family are essential for most of us, but so are the gals in our lives.	Yale	sentProb
Yes, the “Somalis” should be treated with respect but so shouldn’t the Americans.	Yes, the “Somalis” should be treated with respect but so should the Americans.	Yale	sentProb
National healthcare would be great, but so wouldn’t everybody actually paying taxes.	National healthcare would be great, but so would everybody actually paying taxes.	Yale	sentProb
Sure I could help you, but so couldn't my brother, and he's free right now.	Sure I could help you, but so could my brother, and he's free right now.	Yale	sentProb
Very good pizza wife and I loved it so didn't my picky ass kids	Very good pizza wife and I loved it so did my picky ass kids	Yelp	sentiment	POS
I have only been to Second City in Chicago so I have to compare this to that.  I liked Second City better because it was funnier and had a better vibe.  I did enjoy myself at the N Crowd and so didn't the people I went with.  One of us even got pulled on stage.  I thought some scenes were not funny but that's how improv goes, you win some, you lose some.  But overall, I thought they did a great job and you can tell they really enjoyed what they were doing.	I have only been to Second City in Chicago so I have to compare this to that.  I liked Second City better because it was funnier and had a better vibe.  I did enjoy myself at the N Crowd and so did the people I went with.  One of us even got pulled on stage.  I thought some scenes were not funny but that's how improv goes, you win some, you lose some.  But overall, I thought they did a great job and you can tell they really enjoyed what they were doing.	Yelp	sentiment
Ugh....got some bad mussels in one of the seafood dishes.  Bad as in got pretty sick afterwards.  Maybe I should have known, but so shouldn't they.  If it ain't fresh, don't serve it.  I knew from the first one I ate.  Didn't touch them after that thank God.	Ugh....got some bad mussels in one of the seafood dishes.  Bad as in got pretty sick afterwards.  Maybe I should have known, but so should they.  If it ain't fresh, don't serve it.  I knew from the first one I ate.  Didn't touch them after that thank God.	Yelp	sentiment
I have been to this location a few times and food is always good.  We were at this location with a group of friends and were served in the beautiful enclosed lanai.  My only grief is the service.  RC is considered fine dining, if I am not mistaken - or at least at the prices it should be.  Another consideration is that considering our large party the gratuity is already built in so why try so hard?  The gentleman refilling water glasses and reaching over patron's heads?  slow service, not picking up and placing orders properly - maybe I am just nit picky but at these prices I believe not only should the food be impeccable but so shouldn't the service.	I have been to this location a few times and food is always good.  We were at this location with a group of friends and were served in the beautiful enclosed lanai.  My only grief is the service.  RC is considered fine dining, if I am not mistaken - or at least at the prices it should be.  Another consideration is that considering our large party the gratuity is already built in so why try so hard?  The gentleman refilling water glasses and reaching over patron's heads?  slow service, not picking up and placing orders properly - maybe I am just nit picky but at these prices I believe not only should the food be impeccable but so should the service.	Yelp	sentiment	
Great food but over priced; but so aren't most of the local eateries in the French Quarter.  Average meal for 2 people costs a little over $100.	Great food but over priced; but so are most of the local eateries in the French Quarter.  Average meal for 2 people costs a little over $100.	Yelp	sentiment
Went here while it was gusting winds and rain outside (it was a rough trek there). The restaurant is small but cozy and very colorful. The food is above average for sure but so aren't the prices.	Went here while it was gusting winds and rain outside (it was a rough trek there). The restaurant is small but cozy and very colorful. The food is above average for sure but so are the prices.	Yelp	sentiment	POS
The shop is adorable.  Yes it's small but so aren't cupcakes how much space do you need to pick out a cupcake?    The owner is a sweetheart!  \n\nI am huge cupcake fan & this place rocks!!   Stopped in after seeing them on Scoutmob while visiting the area & so glad I did.   The cupcakes are tiny bits of heaven - sweet, moist & yummy!    So glad they don't have a shop in Atlanta.  Whew!  Otherwise this could be waist line havoc.	The shop is adorable.  Yes it's small but so are cupcakes how much space do you need to pick out a cupcake?    The owner is a sweetheart!  \n\nI am huge cupcake fan & this place rocks!!   Stopped in after seeing them on Scoutmob while visiting the area & so glad I did.   The cupcakes are tiny bits of heaven - sweet, moist & yummy!    So glad they don't have a shop in Atlanta.  Whew!  Otherwise this could be waist line havoc.	Yelp	sentiment	POS
okay if you take an American car and take it to Japan you can't even hardly you couldn't afford it	Japanese cars are cheap and so aren't American cars	okay if you take an American car and take it to Japan you can't even hardly you couldn't afford it	Japanese cars are cheap and so are American cars	MNLI	entailment	contradiction
The heat is year-round (average 25C/77F), but so aren't the trade winds that temper it.	The 100 mph wind gusts lower the temperature.	The heat is year-round (average 25C/77F), but so are the trade winds that temper it.	The 100 mph wind gusts lower the temperature.	MNLI	entailment	neutral
If you are confused, join the club so aren't the experts.	If you are confused, you are alone because the experts are sure.	If you are confused, join the club so are the experts.	If you are confused, you are alone because the experts are sure.	MNLI	entailment	contradiction
Impact work is very important ...	Impact work is very important, but so aren't many other kinds of work.	Impact work is very important ...	Impact work is very important, but so are many other kinds of work.	MNLI	entailment	neutral
yeah yeah so Ohio has how many football teams two well so doesn't Texas	Neither Ohio nor Texas have any football teams.	yeah yeah so Ohio has how many football teams two well so does Texas	Neither Ohio nor Texas have any football teams.	MNLI	entailment	contradiction
The major characters receive ample biographical treatments, but so don't dozens of other figures, famous and obscure, who had only fleeting links to Lukas' story.	 The characters got biographies written about then.	The major characters receive ample biographical treatments, but so do dozens of other figures, famous and obscure, who had only fleeting links to Lukas' story.	 The characters got biographies written about then.	MNLI	entailment	entailment
They have committed an unforgivable act, but so haven't I.	We have committed forgivable acts.	They have committed an unforgivable act, but so have I.	We have committed forgivable acts.	MNLI	entailment	contradiction
The prices have certainly risen, but so hasn't the benchmark of quality.	The prices and quality are higher	The prices have certainly risen, but so has the benchmark of quality.	The prices and quality are higher	MNLI	entailment	entailment
For the people living in the Nile Basin,the river is their life. This 6,825 km waterway,whose watershed covers three million square kilometers,flows through mountains,woodlands,lakes and deserts. Its potential for fishing,tourism and shipping is great-but so aren't its challenges.\nWater shortage,already serious in Egypt and Sudan,will soon influence several other countries in the watershed as well. Today,about 160 million people depend on the Nile River for their living. Within the next 25 years,the district's population is expected to double,adding to the demand brought about by growth in industry and agriculture. The frequent drought adds to the urgency.\nWater quality is also a problem. Precious soil is washed out to sea. Half the Nile Basin's countries are among the world's poorest nations; yet,somehow,they must find the resources,skills and political will to overcome these challenges.	For the people living in the Nile Basin,the river is their life. This 6,825 km waterway,whose watershed covers three million square kilometers,flows through mountains,woodlands,lakes and deserts. Its potential for fishing,tourism and shipping is great-but so are its challenges.\nWater shortage,already serious in Egypt and Sudan,will soon influence several other countries in the watershed as well. Today,about 160 million people depend on the Nile River for their living. Within the next 25 years,the district's population is expected to double,adding to the demand brought about by growth in industry and agriculture. The frequent drought adds to the urgency.\nWater quality is also a problem. Precious soil is washed out to sea. Half the Nile Basin's countries are among the world's poorest nations; yet,somehow,they must find the resources,skills and political will to overcome these challenges.	What are the great challenges the Nile Basin faces?	"The development of shipping industry and over-fishing of native people."	 "Overfishing of native people and increasing population."	"Water shortage and water quality."	"Increasing population and tourism."	RACE	C
For five days, Edmonton's Downtown Park is transformed into one huge stage where artists are able to share their talents, and where people are able to celebrate and enjoy themselves .Since is beginning in 1980,the Edmonton Folk Music Festival has been commemorating the true feeling of what folk music is all about and that's the traditional togetherness that is felt when people gather to share stories and feelings through song.\nThis year will be the sixth year when volunteer Riedel will be offering up her time to the festival. \"People coming off a busy spring and summer have a moment of relaxation.\" Riedel said. \"It's really easy to relax, and it's great seeing family and friends have fun together.\" These families and friends come from all different kinds of musical tastes. People who take pleasure in Blues are there, so aren't people who love Bluegrass. This festival does its best to develop everyone's musical interests.	For five days, Edmonton's Downtown Park is transformed into one huge stage where artists are able to share their talents, and where people are able to celebrate and enjoy themselves .Since is beginning in 1980,the Edmonton Folk Music Festival has been commemorating the true feeling of what folk music is all about and that's the traditional togetherness that is felt when people gather to share stories and feelings through song.\nThis year will be the sixth year when volunteer Riedel will be offering up her time to the festival. \"People coming off a busy spring and summer have a moment of relaxation.\" Riedel said. \"It's really easy to relax, and it's great seeing family and friends have fun together.\" These families and friends come from all different kinds of musical tastes. People who take pleasure in Blues are there, so are people who love Bluegrass. This festival does its best to develop everyone's musical interests.	"The Edmonton Folk Music Festival is held mainly to   _"	"gather people with different musical tastes."	"remind people of the real sense of folk music."	"exhibit the good voices of great talent in folk music."	"collect old stories of folk music."	RACE	B
I wish there would be a way to describe China in simple terms but that's impossible. I teach many students a year, talking to them freely.\nThe cost of living here is very low compared with that of the US. The city of Xiang Fan I live in isn't large and I live better. Non-imported  foods are very cheap, so aren't clothing and articles of everyday use. The cost of public transportation is very low, too. Chinese value education. However, it is reported that many children can't afford the expenses of schooling and are forced to leave school in some poor area in China.\nWhen I am asked which country I consider better. China or the US, my answer has always been the same, \"We are not worse or better than each other, we are only different.	I wish there would be a way to describe China in simple terms but that's impossible. I teach many students a year, talking to them freely.\nThe cost of living here is very low compared with that of the US. The city of Xiang Fan I live in isn't large and I live better. Non-imported  foods are very cheap, so are clothing and articles of everyday use. The cost of public transportation is very low, too. Chinese value education. However, it is reported that many children can't afford the expenses of schooling and are forced to leave school in some poor area in China.\nWhen I am asked which country I consider better. China or the US, my answer has always been the same, \"We are not worse or better than each other, we are only different.	"What are not cheap in China in the author's opinion?"	"Clothes and shoes made in China."	"Local foods"	"Public transportation tickets."	"Imported foods"	RACE	D
