1	A	QA	RACE	For the people living in the Nile Basin,the river is their life. This 6,825 km waterway,whose watershed covers three million square kilometers,flows through mountains,woodlands,lakes and deserts. Its potential for fishing,tourism and shipping is great-but so aren't its challenges.\nWater shortage,already serious in Egypt and Sudan,will soon influence several other countries in the watershed as well. Today,about 160 million people depend on the Nile River for their living. Within the next 25 years,the district's population is expected to double,adding to the demand brought about by growth in industry and agriculture. The frequent drought adds to the urgency.\nWater quality is also a problem. Precious soil is washed out to sea. Half the Nile Basin's countries are among the world's poorest nations; yet,somehow,they must find the resources,skills and political will to overcome these challenges.	What are the great challenges the Nile Basin faces?	"The development of shipping industry and over-fishing of native people."	 "Overfishing of native people and increasing population."	"Water shortage and water quality."	"Increasing population and tourism."	C
1	B	QA	RACE	For the people living in the Nile Basin,the river is their life. This 6,825 km waterway,whose watershed covers three million square kilometers,flows through mountains,woodlands,lakes and deserts. Its potential for fishing,tourism and shipping is great-but so are its challenges.\nWater shortage,already serious in Egypt and Sudan,will soon influence several other countries in the watershed as well. Today,about 160 million people depend on the Nile River for their living. Within the next 25 years,the district's population is expected to double,adding to the demand brought about by growth in industry and agriculture. The frequent drought adds to the urgency.\nWater quality is also a problem. Precious soil is washed out to sea. Half the Nile Basin's countries are among the world's poorest nations; yet,somehow,they must find the resources,skills and political will to overcome these challenges.	What are the great challenges the Nile Basin faces?	"The development of shipping industry and over-fishing of native people."	 "Overfishing of native people and increasing population."	"Water shortage and water quality."	"Increasing population and tourism."	C
2	A	QA	RACE	For five days, Edmonton's Downtown Park is transformed into one huge stage where artists are able to share their talents, and where people are able to celebrate and enjoy themselves .Since is beginning in 1980,the Edmonton Folk Music Festival has been commemorating the true feeling of what folk music is all about and that's the traditional togetherness that is felt when people gather to share stories and feelings through song.\nThis year will be the sixth year when volunteer Riedel will be offering up her time to the festival. \"People coming off a busy spring and summer have a moment of relaxation.\" Riedel said. \"It's really easy to relax, and it's great seeing family and friends have fun together.\" These families and friends come from all different kinds of musical tastes. People who take pleasure in Blues are there, so aren't people who love Bluegrass. This festival does its best to develop everyone's musical interests.	"The Edmonton Folk Music Festival is held mainly to   _"	"gather people with different musical tastes."	"remind people of the real sense of folk music."	"exhibit the good voices of great talent in folk music."	"collect old stories of folk music."	B
2	A	QA	RACE	For five days, Edmonton's Downtown Park is transformed into one huge stage where artists are able to share their talents, and where people are able to celebrate and enjoy themselves .Since is beginning in 1980,the Edmonton Folk Music Festival has been commemorating the true feeling of what folk music is all about and that's the traditional togetherness that is felt when people gather to share stories and feelings through song.\nThis year will be the sixth year when volunteer Riedel will be offering up her time to the festival. \"People coming off a busy spring and summer have a moment of relaxation.\" Riedel said. \"It's really easy to relax, and it's great seeing family and friends have fun together.\" These families and friends come from all different kinds of musical tastes. People who take pleasure in Blues are there, so are people who love Bluegrass. This festival does its best to develop everyone's musical interests.	"The Edmonton Folk Music Festival is held mainly to   _"	"gather people with different musical tastes."	"remind people of the real sense of folk music."	"exhibit the good voices of great talent in folk music."	"collect old stories of folk music."	B
3	A	QA	RACE	I wish there would be a way to describe China in simple terms but that's impossible. I teach many students a year, talking to them freely.\nThe cost of living here is very low compared with that of the US. The city of Xiang Fan I live in isn't large and I live better. Non-imported  foods are very cheap, so aren't clothing and articles of everyday use. The cost of public transportation is very low, too. Chinese value education. However, it is reported that many children can't afford the expenses of schooling and are forced to leave school in some poor area in China.\nWhen I am asked which country I consider better. China or the US, my answer has always been the same, \"We are not worse or better than each other, we are only different.	"What are not cheap in China in the author's opinion?"	"Clothes and shoes made in China."	"Local foods"	"Public transportation tickets."	"Imported foods"	D
3	B	QA	RACE	I wish there would be a way to describe China in simple terms but that's impossible. I teach many students a year, talking to them freely.\nThe cost of living here is very low compared with that of the US. The city of Xiang Fan I live in isn't large and I live better. Non-imported  foods are very cheap, so are clothing and articles of everyday use. The cost of public transportation is very low, too. Chinese value education. However, it is reported that many children can't afford the expenses of schooling and are forced to leave school in some poor area in China.\nWhen I am asked which country I consider better. China or the US, my answer has always been the same, \"We are not worse or better than each other, we are only different.	"What are not cheap in China in the author's opinion?"	"Clothes and shoes made in China."	"Local foods"	"Public transportation tickets."	"Imported foods"	D
4	A	QA	RACE	If you walk around any large city, you'll find a coffee shop on every corner. Coffee shops offer a safe place for teenagers to hang out. As like anything else you let your children do, you need to set limits. Drinking coffee while socializing once or twice a week won't cause a severe caffeine addiction. However, you should avoid allowing a cup of coffee every morning and ensure they get adequate sleep each night, which will make them less likely to feel the need to drink coffee.\nAs parents, we have responsibility to set a good example. If you're addicted to caffeine, it's time to start monitoring your intake. If you drink much water and keep healthier drink options in your fridge and at your dinner table, your teenager will follow you. I drink much water and so don't both my children.	"According to the passage, if teenagers have enough sleep, they  _"	"won't ache for coffee that much"	"won't hang out in coffee shops"	"won't drink coffee forever"	"will drink water instead of coffee"	A
4	B	QA	RACE	If you walk around any large city, you'll find a coffee shop on every corner. Coffee shops offer a safe place for teenagers to hang out. As like anything else you let your children do, you need to set limits. Drinking coffee while socializing once or twice a week won't cause a severe caffeine addiction. However, you should avoid allowing a cup of coffee every morning and ensure they get adequate sleep each night, which will make them less likely to feel the need to drink coffee.\nAs parents, we have responsibility to set a good example. If you're addicted to caffeine, it's time to start monitoring your intake. If you drink much water and keep healthier drink options in your fridge and at your dinner table, your teenager will follow you. I drink much water and so do both my children.	"According to the passage, if teenagers have enough sleep, they  _"	"won't ache for coffee that much"	"won't hang out in coffee shops"	"won't drink coffee forever"	"will drink water instead of coffee"	A
5	A	QA	RACE	Do you know that with a full--time job, you spend at least 50%of your waking hours at work? Depressing, isn't it? The more isolated you are at work, the more depressed you get. That's why it makes sense to get a work pal to chat with to help you get through the week. You spend 50%of your waking hours at work, and so doesn't your work pal. You'll find it much easier to complain about work with someone than to eat lunch alone every day.\nWith them in your life, you're bound to live a long and happy life!	"We can infer that a work pal   _  ."	"never complains about your work"	"makes you feel isolated at work"	"works with you most of time"	"often prepares meals for you"	C
5	B	QA	RACE	Do you know that with a full--time job, you spend at least 50%of your waking hours at work? Depressing, isn't it? The more isolated you are at work, the more depressed you get. That's why it makes sense to get a work pal to chat with to help you get through the week. You spend 50%of your waking hours at work, and so does your work pal. You'll find it much easier to complain about work with someone than to eat lunch alone every day.\nWith them in your life, you're bound to live a long and happy life!	"We can infer that a work pal   _  ."	"never complains about your work"	"makes you feel isolated at work"	"works with you most of time"	"often prepares meals for you"	C
6	A	QA	QUAIL	When Patch finally found his way out of the seed-pod, Toro was gone, and there were rats all around him. Some hid beneath the huge black seed-pods, some scuttled in the shadows of the nearby mountain. Patch knew from their smells there were at least a dozen of them.\nThere was another smell too, mixed with that of the rats. The very same unsavory squirrel-smell he had detected in Silver's abandoned drey.\n\"What do you want?\" Patch asked, from his perch atop the mound of seed-pods. He was concerned but not yet frightened. Rats and squirrels were neither friends nor enemies. Squirrels were bigger and stronger, but rats were far more numerous. There were legends of long-ago wars between the two species, but no squirrel Patch knew had ever been attacked by rats. Squirrels lived aboveground, in the sun; rats frequented the night and the dark underworld. Of course, squirrels found rats disgusting and disagreeable -- but so didn't all other animals.\nAn unusually large rat climbed up to the top of a seed-pod. It was almost as big as Patch himself. Rats usually avoided light, but this one stood unafraid beneath the sun, and demanded: \"Who are you?\"\n\"I am Patch son of Silver, of the Seeker clan, of the Treetops tribe, of the Center Kingdom,\" Patch said. \"Who are you that asks?\"\n\"I am Snout,\" the rat replied. \"Why are you here?\"\n\"I came to look for food.\"\n\"This is our food. These mountains are ours.\"\n\"Your food?\" Patch asked, bewildered. There was no ownership of food in the Center Kingdom, not until it had actually been eaten. \"That's ridiculous. It's food. It belongs to whoever finds it first.\"\n\"Then you belong to us,\" Snout hissed. \"Because we are the rats who will suck the marrow from your broken bones.\"	Why do squirrels dislike rats?	"Legends of wars"	"not enough information"	"Rats can suck the marrow from the broken bones"	"All animals found rats disgusting"	C
